tagStatID,userID,tagID,totalWatchDuration,uniqueVideos
150,16,3,57664,1
151,16,4,3804,1
152,16,5,166943,4
153,16,6,86725,5
154,16,9,70225,1
155,16,11,55530,1
156,16,12,0,1
157,16,13,0,1
158,16,20,2870,1
159,16,23,39882,2
160,16,35,106293,2
161,17,2,126,1
162,17,5,7078,2
163,17,8,3225,2
164,17,11,119,1
165,17,15,1852,2
166,17,22,73,1
167,19,6,12953,3
168,19,8,6539,1
169,19,9,6539,1
170,19,12,17,1
171,19,13,81859,1
172,19,15,5258,1
173,19,22,265769,1
174,19,28,6009,1
175,19,35,9,1
176,19,40,13,1
177,20,15,1200,1
178,20,20,0,1
179,20,24,6420,1
180,20,26,7200,1
181,20,29,16201,1
182,20,31,0,1
183,20,35,6000,1
184,21,3,9246,1
185,21,6,36018,4
186,21,9,30406,2
187,21,12,43180,4
188,21,21,5,1
189,21,22,7552,1
190,21,23,17,1
191,21,24,23093,2
192,21,26,7186,1
193,21,29,849,1
194,21,34,6386,1
195,22,1,2962,1
196,22,3,45,1
197,22,5,312,1
198,22,6,373,1
199,22,9,6993,2
200,22,11,4433,2
201,22,12,45,1
202,22,13,226,2
203,22,15,549,1
204,22,20,25,1
205,22,22,300,1
206,22,23,1191,1
207,22,26,3826,1
208,22,35,297,1
209,22,38,4433,2
210,23,2,5436,1
211,23,6,14966,3
212,23,11,8021,1
213,23,12,14802,2
214,23,15,8021,1
215,23,22,13959,1
216,23,25,13049,1
217,23,39,13049,1
218,24,3,7648,1
219,24,5,203143,1
220,24,7,142806,1
221,24,8,2084,2
222,24,9,169423,4
223,24,10,3353,1
224,24,14,162899,1
225,24,18,162899,1
226,24,22,75293,3
227,24,29,2848,1
228,24,33,1960,1
229,24,35,7,1
230,24,37,2814,1
231,25,5,461,1
232,25,6,5674,4
233,25,12,3517,3
234,25,13,2036,2
235,25,15,68,1
236,25,21,364,1
237,25,22,486,1
238,25,23,8265,1
239,25,24,11919,3
240,25,35,13743,2
241,25,38,1142,1
242,26,3,168509,2
243,26,8,208056,6
244,26,9,3635,2
245,26,22,157808,3
246,26,28,0,1
247,26,35,64528,2
248,27,2,90271,1
249,28,4,173054,1
250,28,8,0,2
251,28,22,4693,1
252,29,3,68453,1
253,29,5,71,1
254,29,6,558,1
255,29,9,5390,1
256,29,10,504759,1
257,29,12,0,1
258,29,13,2091617,5
259,29,14,504759,1
260,29,22,0,1
261,29,27,9602,1
262,29,34,0,1
263,29,35,3,1
264,29,37,1200,1
265,29,41,0,1
266,30,8,0,1
267,30,9,0,2
268,30,22,68643,1
269,31,6,10223,2
270,31,8,857,1
271,31,19,74045,2
272,31,22,1810,2
273,32,1,0,1
274,32,6,7584,2
275,32,9,0,1
276,32,11,176,1
277,32,12,0,1
278,32,23,0,1
279,33,2,13055,4
280,33,4,0,2
281,33,5,123,1
282,33,6,73043,4
283,33,9,0,1
284,33,12,11900,2
285,33,20,13,1
286,33,22,14586,2
287,33,33,5861,1
288,33,34,5031,1
289,33,40,19,1
290,34,5,123947,1
291,34,6,27195,1
292,34,8,5167,2
293,34,13,19935,4
294,34,22,6244,1
295,34,24,8,1
296,35,5,158,1
297,35,6,0,1
298,35,8,78286,5
299,35,9,0,1
300,35,11,0,1
301,35,12,81113,1
302,35,15,5400,1
303,35,22,402,2
304,35,28,0,1
305,35,30,97,1
306,35,35,0,1
307,35,38,0,1
308,36,6,0,1
309,36,8,75078,3
310,36,22,1414,1
311,36,23,8445,1
312,36,31,0,2
313,36,35,8445,2
314,37,8,79540,3
