user_id,watch_count
e4b39fcd78,55
6511fa8e1e,55
e82ab53560,55
05225d37e3,55
6d81fff6bb,55
a249ca5215,55
681c5a45ef,55
4bdcde627c,55
6acbcdf22e,55
b8ac10fcd5,55
44a92bdede,55
457307fd85,54
48ee8fa7e8,54
57c6c3e5d6,54
3978f9be75,54
deed0bc4d6,54
328975896e,54
be28129f63,54
1fb0c5f34a,54
16f6fa0e94,54
2844826182,54
4c2e94fd36,54
846638fa02,54
bd4bd909e6,54
d6f93a663f,54
728684299a,54
e84603ed90,54
8d7b822ac0,54
1d28c3f6f5,54
5ea320eabc,54
22945f3494,54
216c0df5c8,54
b090d94e51,54
fe9b0588a6,53
f3e974b9fb,53
c005553062,53
effdb27e64,53
1111f33ccb,53
9d82f21aeb,53
4c5cb4186b,53
fce8cd4c47,53
af7883eada,53
d4e9eca91e,53
162f321275,53
7fef34e4da,53
a230e039e6,53
2ce39f35c3,53
93e9369e81,53
42c8398274,53
2aa560fd26,53
c8fa46ec6e,53
5680fbffb6,53
88539c9008,53
3d634832db,53
b5817407dd,52
3675d9ba4a,52
fb6e2af0e5,52
2b694fa52c,52
b3ef625c06,52
66fac7c4bc,52
117605fa60,52
a5f794c3cb,52
9abe9fce1f,52
27190dc0f6,52
719929190a,52
74c472531b,52
018844a9b2,52
da41cea4af,52
316364f95c,52
eda0f1a8ad,52
32a2d94dbb,52
f801759de8,51
c881afdc6e,51
ffe6044f87,51
f98c8ca112,51
8338a0dd75,51
468af1c35f,51
c0abd35d1e,51
5d80743370,51
8d3b85115c,51
830bcc54fa,51
2cd86272cf,51
9a09992a9d,51
c6a8b03d35,51
26dc112fa5,51
64c692415a,51
058a832d8a,51
77e5da083b,51
1daab4d5ce,51
c39e86ce3e,51
2b0136858e,51
47d85e52e3,51
b2849919d2,51
51b0fff252,50
f8cd5ca442,50
d8cffb6079,50
62375a49cd,50
ff63f47d62,50
876e7bb6f2,50
827d462c08,50
84f349f081,50
0ac85da99d,50
4c3fbb2bdd,50
31882cc081,50
545567948a,50
fb7fcc3e62,50
d7b30b1834,50
96a9600666,50
3f6d034e77,50
da698fa89c,50
516e759d49,50
4876d33eb8,50
75f4038989,50
69f3659524,50
b31374366d,49
463cb525ef,49
3a67c497fb,49
f0becfd7f7,49
327814f051,49
d56da22f57,49
7a95c27c13,49
0db9c9f7b3,49
c37c420be1,49
3aba3336e5,49
8bdde95328,49
82a661900f,49
8dfcba432f,49
596ad2cd65,49
bd1776c700,49
27cc006680,49
26589cab2e,49
19b5a88c20,49
e93b1d8517,49
00db455434,49
67dae79aaf,49
01f140dca2,49
36e6abc51c,49
91a6463280,49
eeed9ac9c2,49
0f00a05d1b,49
423d95651d,49
e3737dfafc,49
ec3995f6de,49
dc56e3f134,49
d697194d90,48
b8069e86f5,48
0dadf2249d,48
eec2ba4485,48
71a917b8b6,48
68852bfe3e,48
e626d644d8,48
49d091aa63,48
4bda676dfd,48
9fd4826c51,48
0821751921,48
6152f7fe38,48
7db7cd5e18,48
2818360eea,48
c7a29443fe,48
cfaf74af65,48
d48e652544,48
2e2c48cd0d,48
f18fe5c5e8,48
2b0a1c8bfd,48
d0dada280b,48
